"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\TableMap.tsx", "TypeScript JSX", 0, 225, 0, 0, 20, 36, 281
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\order\OrderDialog.tsx", "TypeScript JSX", 0, 234, 0, 0, 14, 23, 271
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\table-info\TableInfo.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 7, 41
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\table-status\StatusBadge.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 6, 42
"d:\proyectos\proyectos\plate-perfect-order\src\components\tables\table-status\StatusSelector.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 6, 51
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 8, 57
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 14, 140
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\alert.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 7, 60
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 3, 6
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 6, 49
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\badge.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 6, 37
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 11, 116
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\button.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 6, 57
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 5, 65
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\card.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 9, 80
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 231, 0, 0, 0, 30, 261
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\area-chart.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\bar-chart.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\chart-container.tsx", "TypeScript JSX", 0, 38, 0, 0, 1, 5, 44
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\chart-context.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 8, 22
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\chart-legend.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 7, 67
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\chart-style.tsx", "TypeScript JSX", 0, 40, 0, 0, 2, 7, 49
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\chart-tooltip.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 13, 163
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\index.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 3, 26
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\line-chart.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\types.ts", "TypeScript", 11, 0, 0, 0, 2, 4, 17
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\chart\utils.ts", "TypeScript", 34, 0, 0, 0, 1, 7, 42
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 4, 29
